Language,Source,English translation,Human?,"If original, then MT:"
zho,"欧美的指控
“美国将不会接受新兴产业如同10年前美国钢铁领域那样，被获得补贴的中国廉价进口产品大批摧毁。”耶伦不久前在访华时表示，此行重点是针对中国电动汽车、太阳能电池板和其他清洁能源产品产能过剩的问题，与中国政府沟通，这些问题对美国和其他国家的生产商构成了威胁。
她也解释了背后的逻辑，对于新能源汽车等产业大力支持，产能大幅攀升，而中国国内需求疲弱，因此行业出现过度投资，商品价格被人为压低，当这些产品出口到欧美，当地企业的生存将陷入困境，如同十多年前，中国钢铁席卷全球市场一样。而且，“中国今天的经济体量太大了，中国主体采取的行动可以改变国际价格，可能让美国和其他国家公司的生存成为问题。”","Accusations from Europe and the United States
""The U.S. will not accept that new industries will be destroyed by subsidized cheap Chinese imports, as it did in the U.S. steel sector 10 years ago. During a recent visit to China, Yellen said the trip focused on communicating with the Chinese government on overcapacity of electric vehicles, solar panels and other clean energy products in China, which poses a threat to producers in the United States and other countries.
She also explained the logic behind the strong support for industries such as new energy vehicles, production capacity has risen sharply, and China's domestic demand is weak, so the industry is over-invested, commodity prices are artificially depressed, and when these products are exported to Europe and the United States, the survival of local companies will be in trouble, just as more than a decade ago, when Chinese steel swept the global market. Moreover, ""China's economy today is so large that actions taken by Chinese actors can change international prices and could make the survival of U.S. and other companies in question.""
",,
ita,"Lo avevano colpito a calci e pugni per rapinarlo dell'orologio da 50mila euro. La polizia ha arrestato tre giovani per l'episodio del 8 marzo avvenuto in via Paolo da Cannobbio, in centro a Milano, ai danni del titolare 59enne di una tabaccheria. I poliziotti della squadra mobile della questura meneghina hanno ricostruito come la vittima davanti al proprio esercizio commerciale era stato raggiunto da tre giovani che lo avevano aggredito con calci e pugni al volto, facendolo rovinare con violenza al suolo. I tre avevano continuato a colpirlo con calci al viso e, contestualmente, gli avevano strappato dal polso un orologio di marca Rolex modello Daytona, del valore di circa 50mila euro. Il 59enne, a seguito dell'aggressione, era stato trasportato al Policlinico di Milano, dove gli era stato diagnosticato un trauma cranico-faciale e fratture multiple al viso, con una prima prognosi di 30 giorni. Le indagini congiunte degli investigatori della terza sezione con i colleghi della quinta, coordinati dalla procura, hanno portato all'identificazione dei presunti autori da alcuni importanti dettagli nella fisionomia e nell'abbigliamento. Gli arrestati sarebbero ""trasfertisti"" in quanto tutti e tre dimoranti nella provincia di Bergamo. Nel video le immagini del pestaggio e della fuga dei tre.
","They had kicked and punched him to rob him of the 50,000 euro watch. The police arrested three young people for the episode on 8 March which occurred in via Paolo da Cannobbio, in the center of Milan, against the 59-year-old owner of a tobacco shop The policemen from the Milan police headquarters' mobile squad reconstructed how the victim had been attacked by three young men in front of his business who had attacked him with kicks and punches in the face, causing him to fall violently to the ground kicked in the face and, at the same time, they had ripped off his wrist a Rolex Daytona model watch, worth around 50 thousand euros. Following the attack, the 59-year-old was transported to the Milan Polyclinic, where he was diagnosed with a disease. cranial-facial trauma and multiple facial fractures, with an initial prognosis of 30 days. The joint investigations of the investigators of the third section with colleagues of the fifth, coordinated by the prosecutor's office, led to the identification of the alleged perpetrators from some important details in the physiognomy. and in clothing. Those arrested would be ""travellers"" as all three lived in the province of Bergamo. The video shows the images of the beating and the escape of the three.",,
nor,"Fem kavalerihester løp løpsk i Londons gater onsdag morgen etter å ha kastet av eierne. Ifølge Telegraph tilhører hestene Household Cavalery og skal ha vært på vei til sin daglige treningstur da de stakk av. Videoer på X viser en hvit og en svart hest som galopperer gjennom Londons gater. Den hvite hesten ser svært blodig ut. Andre bilder viser en soldat som ligger på bakken og får behandling utenfor Clermont Hotel ved Victoria. Hestene skal ha blittsett i store deler av London sentrum. De skal ha kommet seg fra Westminster i vest og helt til Tower Bridge i øst. Bilder viser også at minst en av hestene skal ha kollidert med en parkert buss.
","Five cavalry horses ran wild in the streets of London on Wednesday morning after throwing off their owners. According to the Telegraph, the horses belong to the Household Cavalery and were reportedly on their way to their daily training ride when they ran away. Videos on X show a white and a black horse galloping through the streets of London. The white horse looks very bloody. Other images show a soldier lying on the ground receiving treatment outside the Clermont Hotel near Victoria. The horses are said to have been seen in much of central London. They are said to have made their way from Westminster in the west all the way to Tower Bridge in the east. Photos also show that at least one of the horses reportedly collided with a parked bus.",,
ltz,"D'Emma Sorgato hat d'Halleffinall vun der belscher Talentshow iwwerstanen a stoung en Dënschdeg den Owend an der Finall, déi vun RTBF iwwerdroe gouf. An der Halleffinall stoung déi 20 Joer jonk Lëtzebuergerin mat hirer Performance vum Roy-Orbison-Lidd ""Pretty Woman"" op der Bün a konnt de Public iwwerzeegen. En Dënschdeg den Owend war et d'Emma Sorgato vu Fluesweiler du fir d'Finall de Retour op d'Bün vun ""The Voice Belgium"". Als éischten Titel huet si ""Aimée Pour De Vrai"" gewielt, dee si zesumme mat der Héléna Bailly vun der Star Academy 2023 virgedroen huet. Als zweet Lidd huet d'Emma Sorgato ee Mashup vun den zwee Eurythmics-Titelen ""Here Comes The Rain Again"" an ""Sweet Dreams"" gesongen. Mat zwee staarken Optrëtter konnt d'Lëtzebuergerin sech géint hir Konkurrenten Alexandre a Clément duerchsetzen. Mat der Sängerin Alyah ass si no engem éischte Vott an déi lescht Etapp vun der Finall agezunn.","Emma Sorgato had survived the semi-finals of the Belgian talent show and was in the final on Tuesday evening, which was broadcast by RTBF. In the semi-final, the 20-year-old Luxembourger stood on stage with her performance of the Roy Orbison song ""Pretty Woman"" and was able to convince the public. On Tuesday evening it was Emma Sorgato from Fluesweiler who returned to the stage of ""The Voice Belgium"" for the final. As her first title, she chose ""Aimée Pour De Vrai"", which she presented together with Héléna Bailly from Star Academy 2023. As the second song, Emma Sorgato sang a mashup of the two Eurythmics titles ""Here Comes The Rain Again"" and ""Sweet Dreams"". With two strong performances, the Luxembourger was able to prevail against her competitors Alexandre and Clément. With the singer Alyah, she entered the last stage of the final after a first vote.",No,
ori,"ଭୁବନେଶ୍ୱର,୨୪।୪:ତାତିରୁ ମିଳିବନି ତ୍ରାହି । ୫ ଦିନ ଧରି କଲବଲ କରିବ ଗ୍ରୀଷ୍ମ 
ପ୍ରବାହ । ବିଶେଷ କରି ୨୭ ଓ ୨୮ ତାରିଖରେ ଜଳିବ ସାରା ଓଡିଶା । ରାଜ୍ୟରେ ସିଭିୟର 
ହିଟୱେଭ ନେଇ ସତର୍କ ସୂଚନା ଜାରି କରିଛି ପାଣିପାଗ ବିଭାଗ । ଆଗାମୀ ତିନି ଦିନ ପ୍ରବଳ 
ହିଟ ୱେଭ ନେଇ ସତର୍କତା ଜାରି ହୋଇଛି । ରାଜ୍ୟରେ ତାତି ୪୫ ଟପିପାରେ ବୋଲି ବିଭାଗ 
କହିଛି।
          ସାଢ଼େ ୨ଟା ସୁଦ୍ଧା ଭୁବନେଶ୍ୱର ସବୁଠୁ ଉତ୍ତପ୍ତ ସହର ଭାବେ ପରିଗଣିତ 
ହୋଇଛି। ଆଜି ଭୁବନେଶ୍ୱରରେ ୪୩.୨ ଡିଗ୍ରୀ ତାପମାତ୍ରା ରେକର୍ଡ ହୋଇଛି। ସେହିପରି 
ଝାରସୁଗୁଡ଼ା ୪୨.୯, ଚାନ୍ଦବାଲି ୪୨.୨, ବାଲେଶ୍ୱର ୪୧.୪ ଡିଗ୍ରୀ ତାପମାତ୍ରା ରହିଛି।","Bhubaneswar, 24.4: Trahi was not found in Tati. The summer flow will continue for 5 days. Especially on 27th and 28th, entire Odisha will be lit. The Meteorological Department has issued a warning about severe heatwave in the state. A warning has been issued regarding severe heat wave for the next three days. The department said that the number of cases in the state could rise to 45.

Bhubaneswar is considered as the hottest city by 2:30. Bhubaneswar recorded a temperature of 43.2 degrees today. Similarly, Jharsuguda 42.9 degrees, Chandbali 42.2 degrees, Balasore 41.4 degrees.",No,
sxu,"Schneeschusaison im Arzgebirg ze End

Des Schneeschuhzeit is im Arzgebirg itze erscht emol vorbei. Wie dor Tourismusverband mitteelte wurde dor Schiebetrieb wechn dor milden Tempeaturn und des vieln Reschens ieberall eigestellt.

Nach Angaben dor Liftgesellschaft in O-thal gobs heier vieresiebzsch Toche zen Ruscheln uffn Fichtelbarch. In guten Garn warns Ehunnertdreizsch Toch. In dor Schiearena Eimstock hotn se Anesiebzsch Toch ze tun. Un in Altenberch Fimfefuffzsch. Frieher warns dort emol Achtzsch Toch gewasn.","Snowshoe season in the Ore Mountains is over

Snowshoe season is now over in the Ore Mountains. According to the tourism association, skiing was stopped everywhere because of the mild temperatures and the heavy rain.

According to information from the lift company in Oberwiesenthal, there were seventy-four days of skiing on the Fichtelberg. In good years, it was hunderd and thirty days. They were open for seventy-one days in the Eibenstock Ski Arena. And in Altenberg fifty-five. This used to be eighty days earlier.",Yes ,MT not available :-)
pl,"Niegdyś prężne ośrodki lokalnego przemysłu, polskie mniejsze miasta okazały się niedostrzeganą ofiarą gwałtownych zmian systemowych wprowadzonych po upadku komunizmu w 1989 roku.

Miasta i miasteczka te bowiem żyły i umierały wraz z lokalnymi przedsiębiorstwami państwowymi, które w latach 90. w wielu przypadkach znalazły się w rękach menedżerów, którym trudno było dostosować je do wolnorynkowej rzeczywistości, a prostszym rozwiązaniem było sprzedanie ich na części.

Gdy fabryki zaczęły upadać jedna po drugiej, mieszkańcy miast znaleźli się bez pracy, a później nawet bez niektórych kluczowych usług publicznych.","Once thriving centres of local industry, small Polish towns became overlooked victims of the rapid changes introduced after the fall of communism in 1989.

These places lived and died with local state-owned enterprises, which in the 1990s, in many cases, found themselves in the hands of managers who found it difficult to adapt the companies to the free market reality, often opting for the simpler solution of selling them for parts.

As the factories began to collapse one by one, residents of the towns found themselves without jobs and later even without some vital public services.",Yes ,"Once thriving centers of local industry, Polish smaller towns turned out to be unnoticed victims of the rapid systemic changes introduced after the fall of communism in 1989.

These cities and towns lived and died with local state-owned enterprises, which in the 1990s in many cases found themselves in the hands of managers who found it difficult to adapt them to the free market reality, and the simpler solution was to sell them for parts.

As factories began to fail one by one, city dwellers found themselves without jobs and, later, even without some key public services."
csb,"20 łzëkwiata (sobota) w restauracje McDonald's
w Pùckù na szasém 10 Lutego 45
bãdze konkurs kaszëbsczégò jãzëka dlô dzecy e mtodzezne.
Ùczãstnice bãda mùszele zaprezentowac krótzi dokôz pò kaszëbskù e dpowiedzec na prosté pitaniô tikajacé sã kaszëbsczi gôdczi. Dodôwkòwé nôdgrode za nôpeszniészé ruchna!","On April 20 (Saturday), a Kashubian language competition for children and teenagers will be held at the McDonald's restaurant in Puck (ul. 10 Lutego 45).
The participants' task will be to present and answer simple questions in Kashubian. The wearers of the most beautiful costumes will also receive prizes.",No (from Polish),
yid,"כאָטש הײַנט איז פּאָרטוגאַל נאָר אַ קלײן אייראָפּעיִש לאַנד, איז עס אַ מאָל געווען איינס פֿון די גרעסטע ים־אימפּעריעס אויף דער וועלט. די באַקאַנטסטע געוועזענע קאָלאָניע פֿון פּאָרטוגאַל איז בראַזיל. אין אַפֿריקע געפֿינען זיך אויך אַ סך לענדער, וווּ מען רעדט ביז הײַנט פּאָרטוגעזיש: אַנגאָלאַ, מאָזאַמביק, קאַבו־ווערדי, גינע־ביסאַו, סאַו־טאָמע און פּרינסיפּי.

פֿונדעסטוועגן ווײסן ווײניק מענטשן אַז פּאָרטוגאַל האָט אויך קאָנטראָלירט אַ סך פּאָרט־שטעט אין אַזיאַטישע לענדער. כּמעט אין יעדן אָרט, וואָס איז אַ מאָל געווען אַ טײל פֿון דער פּאָרטוגעזישער אימפּעריע, געפֿינט מען קלײנע און זײער אינטערעסאַנטע עטנישע גרופּעס פֿון געמישטן אָפּשטאַם אַזאַ ווי די מאַקאַנעזער אין מאַקאַו, כינע, און די קריסטאַנגען אין סינגאַפּור און מאַלײַזיע.","Today, Portugal is only a small European country, but it used to be one of the world’s largest and longest-lived maritime empires. The most well-known of its former colonies is Brazil. Many African countries, too, speak Portuguese to this day as a colonial legacy: Angola, Mozambique, Cape Verde, Guinea-Bissau, São Tomé and Príncipe.

However, few people know that aside from its South American and African possessions, Portugal once controlled many port cities throughout Asia. Almost every area that used to be part of the Portuguese Empire is home to small ethnic groups of mixed heritage such as the Macanese in Macau, China, and the Kristang people in Singapore and Malaysia.",Yes ,"Although today Portugal is only a small European country, it was once one of the largest maritime empires in the world. The most famous former colony of Portugal is Brazil. There are also many countries in Africa where Portuguese is still spoken today: Angola, Mozambique, Cabo Verde, Guinea-Bissau, Sao Tome and Principe.

However, few people know that Portugal also controlled many port cities in Asian countries. In almost every place that was once part of the Portuguese Empire, there are small and very interesting ethnic groups of mixed origin, such as the Macanese in Macau, China, and the Christians in Singapore and Malaysia."
he,"מצוקת הדיור מובילה רבים לפתרונות יצירתיים, לאו דווקא חוקיים: בדרום תל אביב, למשל, כבר מספר שנים ישנה תופעה שבמסגרתה חנויות הופכות לדירות מגורים, אך לאחרונה התופעה הזאת תפסה תאוצה. באזור פלורנטין בואכה מבואות יפו קיימים רחובות מסחריים רבים שבעבר היו מלאים בחנויות - וכיום משמשים למגורים בלבד עם ויטרינות חסומות בבלוקים ודלתות מאולתרות.","The housing crisis leads many to creative, not necessarily legal, solutions: in South Tel Aviv, for example, for several years there has been a phenomenon in which shops are converted into residential apartments, but recently this phenomenon has gained momentum. In the Florentine area at the entrance to Jaffa there are many commercial streets that used to be full of shops - and today are used only for residences with storefronts blocked with blocks and makeshift doors.",No,
